delta,run,criterion,Prototypes,epochs,error
0.2,1,3,B: 1 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 0 0 ;,200,2.99754
0.2,2,3,B: 1 0 0 1 1 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 ;,186,2.97795
0.2,3,3,B: 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 1 ;,199,2.98558
0.2,4,3,B: 1 0 1 1 0 0 1 0 1 0 1 1 1 1 1 0 1 0 0 1 ;,191,2.93275
0.2,5,3,B: 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 0 0 ;,201,2.87157
0.2,6,3,B: 0 1 0 0 1 1 0 0 1 1 0 1 1 1 0 1 0 0 1 1 ;,205,2.98248
0.2,7,3,B: 1 0 1 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 0 0 ;,219,2.92461
0.2,8,3,B: 1 1 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 1 1 1 ;,197,2.97236
0.2,9,3,B: 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 ;,374,2.97668
0.2,10,3,B: 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 ;,469,2.99296
0.2,11,3,B: 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 ;,468,2.94672
0.2,12,3,B: 0 0 1 1 0 0 0 0 1 0 1 0 1 1 1 1 1 1 1 0 ;,19297,2.96908
0.2,13,3,B: 0 1 0 1 0 0 1 0 0 1 0 1 1 1 1 1 0 1 1 1 ;,100000,3.94468
0.2,14,3,B: 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 0 ;,3899,2.93536
0.2,15,3,B: 1 1 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 ;,2938,2.99509
0.2,16,3,B: 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 ;,4364,2.94297
0.2,17,3,B: 1 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 ;,406,2.94574
0.2,18,3,B: 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 ;,2864,2.9515
0.2,19,3,B: 1 0 0 1 0 0 0 1 0 1 1 1 0 1 1 0 0 0 1 1 ;,59173,2.94492
0.2,20,3,B: 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 1 ;,1149,2.98566
0.2,21,3,B: 1 0 1 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1 ;,100000,3.61468
0.2,22,3,B: 0 0 0 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 ;,8457,2.96545
0.2,23,3,B: 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 ;,32269,2.98467
0.2,24,3,B: 1 1 0 0 0 1 1 1 1 0 0 0 1 0 0 0 1 0 0 1 ;,1893,2.99283
0.2,25,3,B: 1 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 1 ;,53928,2.92436
0.2,26,3,B: 1 0 1 1 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 1 ;,362,2.93164
0.2,27,3,B: 0 0 0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 1 1 0 ;,331,2.95652
0.2,28,3,B: 1 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 0 0 0 ;,472,2.99983
0.2,29,3,B: 1 0 1 0 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 1 ;,784,2.95649
0.2,30,3,B: 0 0 0 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 1 ;,11759,2.97916
0.5,1,3,B: 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 1 1 1 ;,100000,8.91975
0.5,2,3,B: 1 0 0 0 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 ;,100000,8.71178
0.5,3,3,B: 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 1 1 ;,100000,6.83604
0.5,4,3,B: 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 ;,100000,8.57513
0.5,5,3,B: 0 0 1 1 0 1 0 1 1 0 0 1 0 0 1 1 1 0 1 1 ;,100000,7.20707
0.5,6,3,B: 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0 1 1 1 0 1 ;,100000,8.03614
0.5,7,3,B: 0 0 0 0 1 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0 ;,100000,7.82903
0.5,8,3,B: 1 1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 1 ;,100000,8.90392
0.5,9,3,B: 0 0 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 0 1 1 ;,100000,9.93746
0.5,10,3,B: 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 ;,100000,9.28091
0.5,11,3,B: 0 1 1 0 1 0 0 1 1 1 1 0 0 0 0 1 1 0 1 1 ;,100000,8.97711
0.5,12,3,B: 1 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 1 1 0 1 ;,100000,7.45407
0.5,13,3,B: 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 ;,100000,9.05015
0.5,14,3,B: 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 ;,100000,7.98905
0.5,15,3,B: 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 0 0 1 ;,100000,7.11647
0.5,16,3,B: 1 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 1 0 0 ;,100000,9.09196
0.5,17,3,B: 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ;,100000,7.1847
