"","ai","aj","goodness"
"1",0,0,0
"2",0.025,0,0.025
"3",0.05,0,0.05
"4",0.075,0,0.075
"5",0.1,0,0.1
"6",0.125,0,0.125
"7",0.15,0,0.15
"8",0.175,0,0.175
"9",0.2,0,0.2
"10",0.225,0,0.225
"11",0.25,0,0.25
"12",0.275,0,0.275
"13",0.3,0,0.3
"14",0.325,0,0.325
"15",0.35,0,0.35
"16",0.375,0,0.375
"17",0.4,0,0.4
"18",0.425,0,0.425
"19",0.45,0,0.45
"20",0.475,0,0.475
"21",0.5,0,0.5
"22",0.525,0,0.525
"23",0.55,0,0.55
"24",0.575,0,0.575
"25",0.6,0,0.6
"26",0.625,0,0.625
"27",0.65,0,0.65
"28",0.675,0,0.675
"29",0.7,0,0.7
"30",0.725,0,0.725
"31",0.75,0,0.75
"32",0.775,0,0.775
"33",0.8,0,0.8
"34",0.825,0,0.825
"35",0.85,0,0.85
"36",0.875,0,0.875
"37",0.9,0,0.9
"38",0.925,0,0.925
"39",0.95,0,0.95
"40",0.975,0,0.975
"41",1,0,1
"42",0,0.025,0
"43",0.025,0.025,0.02562125
"44",0.05,0.025,0.0512425
"45",0.075,0.025,0.07686375
"46",0.1,0.025,0.102485
"47",0.125,0.025,0.12810625
"48",0.15,0.025,0.1537275
"49",0.175,0.025,0.17934875
"50",0.2,0.025,0.20497
"51",0.225,0.025,0.23059125
"52",0.25,0.025,0.2562125
"53",0.275,0.025,0.28183375
"54",0.3,0.025,0.307455
"55",0.325,0.025,0.33307625
"56",0.35,0.025,0.3586975
"57",0.375,0.025,0.38431875
"58",0.4,0.025,0.40994
"59",0.425,0.025,0.43556125
"60",0.45,0.025,0.4611825
"61",0.475,0.025,0.48680375
"62",0.5,0.025,0.512425
"63",0.525,0.025,0.53804625
"64",0.55,0.025,0.5636675
"65",0.575,0.025,0.58928875
"66",0.6,0.025,0.61491
"67",0.625,0.025,0.64053125
"68",0.65,0.025,0.6661525
"69",0.675,0.025,0.69177375
"70",0.7,0.025,0.717395
"71",0.725,0.025,0.74301625
"72",0.75,0.025,0.7686375
"73",0.775,0.025,0.79425875
"74",0.8,0.025,0.81988
"75",0.825,0.025,0.84550125
"76",0.85,0.025,0.8711225
"77",0.875,0.025,0.89674375
"78",0.9,0.025,0.922365
"79",0.925,0.025,0.94798625
"80",0.95,0.025,0.9736075
"81",0.975,0.025,0.99922875
"82",1,0.025,1.02485
"83",0,0.05,0
"84",0.025,0.05,0.0262425
"85",0.05,0.05,0.052485
"86",0.075,0.05,0.0787275
"87",0.1,0.05,0.10497
"88",0.125,0.05,0.1312125
"89",0.15,0.05,0.157455
"90",0.175,0.05,0.1836975
"91",0.2,0.05,0.20994
"92",0.225,0.05,0.2361825
"93",0.25,0.05,0.262425
"94",0.275,0.05,0.2886675
"95",0.3,0.05,0.31491
"96",0.325,0.05,0.3411525
"97",0.35,0.05,0.367395
"98",0.375,0.05,0.3936375
"99",0.4,0.05,0.41988
"100",0.425,0.05,0.4461225
"101",0.45,0.05,0.472365
"102",0.475,0.05,0.4986075
"103",0.5,0.05,0.52485
