"","ai","aj","goodness"
"1",0,0,0
"2",0.05,0,0
"3",0.1,0,0
"4",0.15,0,0
"5",0.2,0,0
"6",0.25,0,0
"7",0.3,0,0
"8",0.35,0,0
"9",0.4,0,0
"10",0.45,0,0
"11",0.5,0,0
"12",0.55,0,0
"13",0.6,0,0
"14",0.65,0,0
"15",0.7,0,0
"16",0.75,0,0
"17",0.8,0,0
"18",0.85,0,0
"19",0.9,0,0
"20",0.95,0,0
"21",1,0,0
"22",0,0.05,0
"23",0.05,0.05,0
"24",0.1,0.05,0
"25",0.15,0.05,0
"26",0.2,0.05,0
"27",0.25,0.05,0
"28",0.3,0.05,0
"29",0.35,0.05,0
"30",0.4,0.05,0
"31",0.45,0.05,0
"32",0.5,0.05,0
"33",0.55,0.05,0
"34",0.6,0.05,0
"35",0.65,0.05,0
"36",0.7,0.05,0
"37",0.75,0.05,0
"38",0.8,0.05,0
"39",0.85,0.05,0
"40",0.9,0.05,0
"41",0.95,0.05,0
"42",1,0.05,0
"43",0,0.1,0
"44",0.05,0.1,0
"45",0.1,0.1,0
"46",0.15,0.1,0
"47",0.2,0.1,0
"48",0.25,0.1,0
"49",0.3,0.1,0
"50",0.35,0.1,0
"51",0.4,0.1,0
"52",0.45,0.1,0
"53",0.5,0.1,0
"54",0.55,0.1,0
"55",0.6,0.1,0
"56",0.65,0.1,0
"57",0.7,0.1,0
"58",0.75,0.1,0
"59",0.8,0.1,0
"60",0.85,0.1,0
"61",0.9,0.1,0
"62",0.95,0.1,0
"63",1,0.1,0
"64",0,0.15,0
"65",0.05,0.15,0
"66",0.1,0.15,0
"67",0.15,0.15,0
"68",0.2,0.15,0
"69",0.25,0.15,0
"70",0.3,0.15,0
"71",0.35,0.15,0
"72",0.4,0.15,0
"73",0.45,0.15,0
"74",0.5,0.15,0
"75",0.55,0.15,0
"76",0.6,0.15,0
"77",0.65,0.15,0
"78",0.7,0.15,0
"79",0.75,0.15,0
"80",0.8,0.15,0
"81",0.85,0.15,0
"82",0.9,0.15,0
"83",0.95,0.15,0
"84",1,0.15,0
"85",0,0.2,0
"86",0.05,0.2,0
"87",0.1,0.2,0
"88",0.15,0.2,0
"89",0.2,0.2,0
"90",0.25,0.2,0
"91",0.3,0.2,0
"92",0.35,0.2,0
"93",0.4,0.2,0
"94",0.45,0.2,0
"95",0.5,0.2,0
"96",0.55,0.2,0
"97",0.6,0.2,0
"98",0.65,0.2,0
"99",0.7,0.2,0
"100",0.75,0.2,0
"101",0.8,0.2,0
"102",0.85,0.2,0
"103",0.9,0.2,0
"104",0.95,0.2,0
"105",1,0.2,0
"106",0,0.25,0
"107",0.05,0.25,0
"108",0.1,0.25,0
"109",0.15,0.25,0
"110",0.2,0.25,0
"111",0.25,0.25,0
"112",0.3,0.25,0
"113",0.35,0.25,0
"114",0.4,0.25,0
"115",0.45,0.25,0
"116",0.5,0.25,0
"117",0.55,0.25,0
"118",0.6,0.25,0
"119",0.65,0.25,0
"120",0.7,0.25,0
"121",0.75,0.25,0
"122",0.8,0.25,0
"123",0.85,0.25,0
"124",0.9,0.25,0
"125",0.95,0.25,0
"126",1,0.25,0
"127",0,0.3,0
"128",0.05,0.3,0
"129",0.1,0.3,0
"130",0.15,0.3,0
"131",0.2,0.3,0
"132",0.25,0.3,0
"133",0.3,0.3,0
"134",0.35,0.3,0
"135",0.4,0.3,0
"136",0.45,0.3,0
"137",0.5,0.3,0
"138",0.55,0.3,0
"139",0.6,0.3,0
"140",0.65,0.3,0
"141",0.7,0.3,0
"142",0.75,0.3,0
"143",0.8,0.3,0
"144",0.85,0.3,0
"145",0.9,0.3,0
"146",0.95,0.3,0
"147",1,0.3,0
"148",0,0.35,0
"149",0.05,0.35,0
"150",0.1,0.35,0
"151",0.15,0.35,0
"152",0.2,0.35,0
"153",0.25,0.35,0
"154",0.3,0.35,0
"155",0.35,0.35,0
"156",0.4,0.35,0
"157",0.45,0.35,0
"158",0.5,0.35,0
"159",0.55,0.35,0
"160",0.6,0.35,0
"161",0.65,0.35,0
"162",0.7,0.35,0
"163",0.75,0.35,0
"164",0.8,0.35,0
"165",0.85,0.35,0
"166",0.9,0.35,0
"167",0.95,0.35,0
"168",1,0.35,0
"169",0,0.4,0
"170",0.05,0.4,0
"171",0.1,0.4,0
"172",0.15,0.4,0
"173",0.2,0.4,0
"174",0.25,0.4,0
"175",0.3,0.4,0
"176",0.35,0.4,0
"177",0.4,0.4,0
"178",0.45,0.4,0
"179",0.5,0.4,0
"180",0.55,0.4,0
"181",0.6,0.4,0
"182",0.65,0.4,0
"183",0.7,0.4,0
"184",0.75,0.4,0
"185",0.8,0.4,0
"186",0.85,0.4,0
"187",0.9,0.4,0
"188",0.95,0.4,0
"189",1,0.4,0
"190",0,0.45,0
"191",0.05,0.45,0
"192",0.1,0.45,0
"193",0.15,0.45,0
"194",0.2,0.45,0
"195",0.25,0.45,0
"196",0.3,0.45,0
"197",0.35,0.45,0
"198",0.4,0.45,0
"199",0.45,0.45,0
"200",0.5,0.45,0
"201",0.55,0.45,0
"202",0.6,0.45,0
"203",0.65,0.45,0
"204",0.7,0.45,0
"205",0.75,0.45,0
"206",0.8,0.45,0
"207",0.85,0.45,0
"208",0.9,0.45,0
"209",0.95,0.45,0
"210",1,0.45,0
"211",0,0.5,0
"212",0.05,0.5,0
"213",0.1,0.5,0
"214",0.15,0.5,0
"215",0.2,0.5,0
"216",0.25,0.5,0
"217",0.3,0.5,0
"218",0.35,0.5,0
"219",0.4,0.5,0
"220",0.45,0.5,0
"221",0.5,0.5,0
"222",0.55,0.5,0
"223",0.6,0.5,0
"224",0.65,0.5,0
"225",0.7,0.5,0
"226",0.75,0.5,0
"227",0.8,0.5,0
"228",0.85,0.5,0
"229",0.9,0.5,0
"230",0.95,0.5,0
"231",1,0.5,0
"232",0,0.55,0
"233",0.05,0.55,0
"234",0.1,0.55,0
"235",0.15,0.55,0
"236",0.2,0.55,0
"237",0.25,0.55,0
"238",0.3,0.55,0
"239",0.35,0.55,0
"240",0.4,0.55,0
"241",0.45,0.55,0
"242",0.5,0.55,0
"243",0.55,0.55,0
"244",0.6,0.55,0
"245",0.65,0.55,0
"246",0.7,0.55,0
"247",0.75,0.55,0
"248",0.8,0.55,0
"249",0.85,0.55,0
"250",0.9,0.55,0
"251",0.95,0.55,0
"252",1,0.55,0
"253",0,0.6,0
"254",0.05,0.6,0
"255",0.1,0.6,0
"256",0.15,0.6,0
"257",0.2,0.6,0
"258",0.25,0.6,0
"259",0.3,0.6,0
"260",0.35,0.6,0
